ID,Name,Media_Type,Download_URL,rec_date,rec_date_assignment_certain,genre,genre_stim,gloss,transl,sound_quality,background_noise,Corpus_ID,Glottocode
doreco_anal1239_anm_20151216_10_Ngahring_WB_proverbs1,anm_20151216_10_Ngahring_WB_proverbs1.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/c61e30ae8623751103a1dc0f29edf93af752df9b,2015-12-02,certain,traditional narrative,na,none,English,good,punctual,anal1239,anal1239
doreco_anal1239_anm_20151216_10_Ngahring_WB_riddles,anm_20151216_10_Ngahring_WB_riddles.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/c67c411f17f9d4c288de5f8f6af670ef7b1eb12e,2015-12-02,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20152111_Ngahring_PO_55,anm_20152111_Ngahring_PO_55.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/4564939bc7a61f82f831730e64ad834b3f91b138,2015-12-02,certain,traditional narrative,na,none,English,medium,punctual,anal1239,anal1239
doreco_anal1239_anm_20152111_Ngahring_PO_56,anm_20152111_Ngahring_PO_56.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/57d8826a93f2348e81bc185aceab8612763827e4,2015-12-02,certain,traditional narrative,na,none,English,medium,punctual,anal1239,anal1239
doreco_anal1239_anm_20152111_Ngahring_PO_61,anm_20152111_Ngahring_PO_61.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/8231477d79e888e19072beb1c96d10c5a9db0525,2015-12-03,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20152111_Ngahring_WB_dead_woman_and_her_children,anm_20152111_Ngahring_WB_dead_woman_and_her_children.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/c5ad93da1d933f32c4bbf2a0727879f325531ec1,2015-12-03,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20152111_Ngahring_WB_frog_and_jackal,anm_20152111_Ngahring_WB_frog_and_jackal.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/c44108ee584def02d3c30a78654634318e5b649c,2015-12-03,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20152111_Ngahring_folkfore_60,anm_20152111_Ngahring_folkfore_60.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/a616f165c86b37316113b9bd9f3703be1eebd1c2,2015-12-03,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20160220_Mohtung_PO_3,anm_20160220_Mohtung_PO_3.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/c6b82085038da13a7a4fceb4b91d85f4073a0ffc,2016-02-20,certain,personal narrative,na,none,English,medium,none,anal1239,anal1239
doreco_anal1239_anm_20160220_Mohtung_PO_8,anm_20160220_Mohtung_PO_8.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/e19ecdae18590fc3d60ada8b493a1fa08aba31d8,2016-02-20,certain,personal narrative,na,none,English,medium,none,anal1239,anal1239
doreco_anal1239_anm_20160220_Mohtung_PO_15,anm_20160220_Mohtung_PO_15.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/55f9c4613c4d155d6e70a1d4697a432aa4cb288f,2016-02-20,certain,traditional narrative,na,none,English,medium,none,anal1239,anal1239
doreco_anal1239_anm_20160220_Ngahring_Folkflore_53,anm_20160220_Ngahring_Folkflore_53.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/5638e4ec646e338eae44fdf310e7e84c22877eab,2015-12-02,certain,traditional narrative,na,none,English,medium,punctual,anal1239,anal1239
doreco_anal1239_anm_20160220_Ngahring_PO_52,anm_20160220_Ngahring_PO_52.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/869b708e7788c72c9bf6d905718cc8a19bc4075d,2015-12-02,certain,traditional narrative,na,none,English,bad,punctual,anal1239,anal1239
doreco_anal1239_anm_20160220_Thumri_PO_1,anm_20160220_Thumri_PO_1.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/181889f1931c0737c6f9dc52591c91a01aca64ec,2016-02-20,certain,traditional narrative,na,none,English,medium,constant,anal1239,anal1239
doreco_anal1239_anm_20160221_Pethun_1_folk_story,anm_20160221_Pethun_1_folk_story.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/a031e392caf7dfd499c09bc3e6712c204b73416b,2016-02-21,certain,traditional narrative,na,none,English,medium,none,anal1239,anal1239
doreco_anal1239_anm_20160221_Sharingla_PO_1,anm_20160221_Sharingla_PO_1.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/2da92c715bb852b51b7b7669408fdc972de3a81a,2016-02-21,certain,traditional narrative,na,none,English,medium,constant,anal1239,anal1239
doreco_anal1239_anm_20160221_Tohnuwng_PO_5_threshing_tunes,anm_20160221_Tohnuwng_PO_5_threshing_tunes.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/ca3d5c973132284522ea218446bbf764fa5654ba,2016-02-21,certain,traditional narrative,na,none,English,medium,punctual,anal1239,anal1239
doreco_anal1239_anm_20160227_Thumhring_Thangwar_2,anm_20160227_Thumhring_Thangwar_2.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/c2a1a3e887611c79adea5dbfbac08bf1baa83103,2016-02-27,certain,traditional narrative,na,none,English,good,punctual,anal1239,anal1239
doreco_anal1239_anm_20160227_Thungno_Jalngam_2_Tingkingtingtang,anm_20160227_Thungno_Jalngam_2_Tingkingtingtang.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/1652e1fec559873a4357ba74b834c21ef69b0de0,2016-02-27,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20160318_ThSt_Thumhring_1_folk_story,anm_20160318_ThSt_Thumhring_1_folk_story.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/37930f774f6cc6171934c31be6e6bf27aa2b1564,2016-03-18,certain,traditional narrative,na,none,English,good,none,anal1239,anal1239
doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story,anm_20160318_Thst_Thumhring_Thangwar_2_folk_story.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/984522aeda18c445bac768ef6d7f1f5bb72f0b8b,2016-03-18,certain,traditional narrative,na,none,English,medium,punctual,anal1239,anal1239
doreco_anal1239_anm_20160924_Thotson_grandmothers_1,anm_20160924_Thotson_grandmothers_1.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/b52e81d6fbb59c9007297e37dca13e56a4d5b88f,2016-09-24,certain,conversation,na,none,English,bad,punctual,anal1239,anal1239
doreco_anal1239_anm_20161014_PO_Ralruwng_cooking_2,anm_20161014_PO_Ralruwng_cooking_2.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.0024hwiu/a4de857105003db2456118fafca08e2c681ae11d,2016-10-14,certain,conversation,na,none,English,bad,constant,anal1239,anal1239
doreco_apah1238_about_Kris_1a,about_Kris_1a.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.9ae2h1t1/ecfdc28214d18263c84831bd5f1760d078b87dd4,2017-10-08,certain,personal narrative,na,break/gloss,English/Indonesian,good,none,apah1238,apah1238
doreco_apah1238_frog_story_Silpa_Fince,frog_story_Silpa_Fince.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.9ae2h1t1/1a7a50a32c30ca2339d8fd2cc3649ea135d127e8,2014-08-12,certain,stimulus retelling,frog story,break/gloss,English/Indonesian,medium,constant,apah1238,apah1238
doreco_apah1238_interview_IP_Ware,interview_IP_Ware.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.9ae2h1t1/37d3d56f5296fc82d45764552449f5718c02ec04,2013-03-05,certain,personal narrative,na,break/gloss,English/Indonesian,bad,constant,apah1238,apah1238
doreco_apah1238_pear_story_Lince,pear_story_Lince.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.9ae2h1t1/bda2d8c4317fc26346f3648e2c464d9c22c326ed,2017-10-09,certain,stimulus retelling,pear story,break/gloss,English/Indonesian,good,none,apah1238,apah1238
doreco_apah1238_pear_story_Marthen_b,pear_story_Marthen_b.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.9ae2h1t1/bccc8116b63f30d58e75bfac6e7486d2b884bd27,2017-10-17,certain,stimulus retelling,pear story,break/gloss,English/Indonesian,middle,constant,apah1238,apah1238
doreco_apah1238_pear_story_Stefen_b,pear_story_Stefen_b.wav,audio/x-wav,https://api.nakala.fr/data/10.34847%2Fnkl.9ae2h1t1/be583a17da88fdcdf53b792f023289a7dbda821b,2017-10-17,certain,stimulus retelling,pear story,break/gloss,English/Indonesian,bad,constant,apah1238,apah1238
