ID,Language_ID,age,age_assignment_certain,sex
sout2856_GC,sout2856,20,approximate,m
sout2856_SA,sout2856,40,approximate,m
sout3282_EN01,sout3282,85,approximate,m
sout3282_EN03,sout3282,87,approximate,m
stan1290_unine15-001,stan1290,21,certain,m
stan1290_unine15-007,stan1290,69,certain,f
stan1290_unine15-017,stan1290,74,certain,m
stan1290_unine15-021,stan1290,79,certain,m
stan1290_unine15-039,stan1290,38,certain,m
stan1290_unine15-043,stan1290,20,certain,f
stan1290_unine15-054,stan1290,49,certain,f
stan1290_unine15-062,stan1290,22,certain,f
sumi1235_AA1,sumi1235,22,certain,f
sumi1235_RZ1,sumi1235,20,certain,f
sumi1235_AC1,sumi1235,22,certain,f
sumi1235_IC1,sumi1235,25,certain,f
sumi1235_AJ1,sumi1235,23,certain,m
sumi1235_IA2,sumi1235,24,certain,f
sumi1235_KA1,sumi1235,19,certain,f
sumi1235_AZ2,sumi1235,21,certain,f
sumi1235_IA1,sumi1235,32,certain,f
sumi1235_KA2,sumi1235,22,certain,f
sumi1235_LJ1,sumi1235,22,certain,f
sumi1235_KH2,sumi1235,34,certain,f
sumi1235_KH1,sumi1235,38,certain,m
sumi1235_KZ1,sumi1235,20,certain,f
sumi1235_TZ1,sumi1235,21,certain,m
sumi1235_MA1,sumi1235,18,certain,f
sumi1235_TA1,sumi1235,56,certain,f
sumi1235_TA2,sumi1235,61,certain,m
sumi1235_TA3,sumi1235,19,certain,f
sumi1235_TA4,sumi1235,35,certain,m
sumi1235_TZ2,sumi1235,23,certain,m
sumi1235_VS1,sumi1235,19,certain,f
sumi1235_KY1,sumi1235,22,certain,m
svan1243_NG-LBK,svan1243,60,approximate,f
svan1243_UJ-UBK,svan1243,60,approximate,m
svan1243_MSH-UBL,svan1243,40,approximate,f
svan1243_LO-LS,svan1243,50,approximate,f
svan1243_NX-CH,svan1243,40,approximate,f
svan1243_VG-LS,svan1243,50,approximate,m
svan1243_NT-LT,svan1243,40,approximate,f
svan1243_SHO-LS,svan1243,70,approximate,m
svan1243_BM-CH,svan1243,60,approximate,f
taba1259_TS01,taba1259,52,certain,m
taba1259_TS02,taba1259,64,certain,m
teop1238_Iar,teop1238,71,certain,f
teop1238_Mat,teop1238,30,approximate,f
teop1238_Sii,teop1238,66,certain,f
teop1238_Viv,teop1238,40,approximate,f
teop1238_Asu,teop1238,40,approximate,f
teop1238_Gol,teop1238,30,approximate,m
teop1238_Nah,teop1238,81,certain,m
teop1238_Nan,teop1238,73,certain,f
teop1238_Pur,teop1238,75,approximate,m
teop1238_San,teop1238,72,certain,m
teop1238_Sha,teop1238,18,certain,f
texi1237_TLF,texi1237,59,certain,m
trin1278_LJI,trin1278,68,certain,m
trin1278_EIN,trin1278,50,certain,m
trin1278_ANM,trin1278,60,approximate,m
trin1278_FCT,trin1278,46,certain,f
trin1278_CMC,trin1278,30,approximate,f
trin1278_SGG,trin1278,60,certain,f
tsim1256_GG,tsim1256,60,approximate,m
tsim1256_MM,tsim1256,55,approximate,f
tsim1256_WQ,tsim1256,70,approximate,m
tsim1256_GB,tsim1256,50,approximate,f
tsim1256_UG,tsim1256,40,approximate,f
tsim1256_UB,tsim1256,35,approximate,f
tsim1256_MQ,tsim1256,40,approximate,f
tsim1256_BG,tsim1256,70,approximate,f
tsim1256_JMM,tsim1256,50,approximate,m
tsim1256_GW,tsim1256,30,approximate,f
tsim1256_DQ,tsim1256,60,approximate,f
tsim1256_JW,tsim1256,30,approximate,m
urum1249_A01,urum1249,24,certain,m
urum1249_A02,urum1249,63,certain,f
urum1249_A03,urum1249,69,certain,m
urum1249_A04,urum1249,34,certain,m
urum1249_A05,urum1249,81,certain,m
urum1249_A06,urum1249,79,certain,m
urum1249_A07,urum1249,46,certain,f
urum1249_A08,urum1249,27,certain,m
urum1249_A09,urum1249,83,certain,f
urum1249_A10,urum1249,19,certain,m
urum1249_A11,urum1249,74,certain,m
urum1249_A12,urum1249,67,certain,f
urum1249_A13,urum1249,41,certain,m
urum1249_A14,urum1249,17,certain,f
urum1249_A15,urum1249,18,certain,m
urum1249_A16,urum1249,47,certain,m
urum1249_B01,urum1249,52,certain,f
urum1249_B02,urum1249,61,certain,m
urum1249_B03,urum1249,21,certain,f
urum1249_B04,urum1249,29,certain,f
urum1249_B06,urum1249,30,certain,f
urum1249_B07,urum1249,78,certain,f
urum1249_B08,urum1249,39,certain,f
urum1249_B10,urum1249,51,certain,m
urum1249_B11,urum1249,51,certain,f
urum1249_B12,urum1249,67,certain,f
urum1249_B13,urum1249,33,certain,m
urum1249_B14,urum1249,50,certain,f
urum1249_B16,urum1249,51,certain,f
urum1249_B09,urum1249,19,certain,f
vera1241_VR01,vera1241,20,approximate,f
vera1241_VR02,vera1241,40,approximate,m
vera1241_VR05,vera1241,20,approximate,m
vera1241_VR06,vera1241,60,approximate,m
vera1241_VR08,vera1241,60,approximate,m
vera1241_VR09,vera1241,30,approximate,m
vera1241_VR10,vera1241,40,approximate,f
warl1254_WA32,warl1254,40,approximate,f
warl1254_WA40,warl1254,35,approximate,f
warl1254_WA41,warl1254,30,approximate,f
warl1254_NWA01,warl1254,40,approximate,f
warl1254_NWA02,warl1254,40,approximate,f
warl1254_NWA03,warl1254,25,approximate,f
warl1254_NWA04,warl1254,20,approximate,f
warl1254_NWA08,warl1254,60,approximate,f
warl1254_NWA10,warl1254,35,approximate,f
warl1254_WWA02,warl1254,40,approximate,f
warl1254_WWA04,warl1254,25,approximate,f
warl1254_WWA05,warl1254,40,approximate,f
warl1254_WWA06,warl1254,30,approximate,f
warl1254_YWA01,warl1254,30,approximate,f
warl1254_YWA02,warl1254,50,approximate,f
warl1254_YWA03,warl1254,50,approximate,f
warl1254_YWA04,warl1254,30,approximate,f
warl1254_WA29,warl1254,40,approximate,f
yong1270_DL,yong1270,57,certain,f
yuca1254_2,yuca1254,42,certain,f
yuca1254_4,yuca1254,32,certain,f
yuca1254_22,yuca1254,23,certain,f
yuca1254_23,yuca1254,45,certain,m
yuca1254_12,yuca1254,38,certain,f
yuca1254_25,yuca1254,44,certain,f
yura1255_M60,yura1255,60,certain,m
yura1255_M68,yura1255,68,certain,m
yura1255_M25,yura1255,25,certain,m
yura1255_F34,yura1255,34,certain,f
yura1255_M35,yura1255,35,certain,m
yura1255_M64,yura1255,64,certain,m
yura1255_F43,yura1255,43,certain,f
yura1255_F47,yura1255,47,certain,f
yura1255_M73,yura1255,73,certain,m
yura1255_F65,yura1255,65,certain,f
yura1255_F62,yura1255,62,certain,f
yura1255_M65,yura1255,65,certain,m
yura1255_M41,yura1255,41,certain,m
yura1255_F40,yura1255,40,certain,f
yura1255_M29,yura1255,29,certain,m
yura1255_M40,yura1255,40,certain,m
